article_id,judul,link,source,waktu,konten_score,struktur_score,bahasa_score,etika_score,seo_score,teknis_score,overall_score,verdict,konten_note,etika_note,nada_note,highlights_json,word_count,readability
0,"Viral Isu PHK Buruh Gudang Garam, Said Iqbal: Suplier hingga Pemilik Kontrakan Juga Akan Terdampak",https://nasional.kompas.com/read/2025/09/06/14232881/viral-isu-phk-buruh-gudang-garam-said-iqbal-suplier-hingga-pemilik-kontrakan,kompas,6 September 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],323,0
1,"Gempa M 5,3 Guncang Pulau Doi Maluku Utara",https://news.detik.com/berita/d-7486691/gempa-m-5-3-guncang-pulau-doi-maluku-utara,detik,"Senin, 12 Agu 2024 21:58 WIB",50,60,80,50,80,100,65,Perlu revisi,,,,[],114,0
2,"Toko Emas Palsu di Riau Dibongkar Polisi, Perhiasan 1,8 Kg Disita",https://news.detik.com/melindungi-tuah-marwah/d-8037655/toko-emas-palsu-di-riau-dibongkar-polisi-perhiasan-1-8-kg-disita,detik,"Rabu, 30 Jul 2025 22:22 WIB",50,75,80,50,80,95,67,Perlu revisi,,,,[],342,0
3,"Minyakita Tak Sesuai Ukuran juga Ditemukan di Kudus, Disita Polda Jateng",https://news.detik.com/berita/d-7816829/minyakita-tak-sesuai-ukuran-juga-ditemukan-di-kudus-disita-polda-jateng,detik,"Senin, 10 Mar 2025 23:15 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],245,0
4,"Pimpin LDP, Sanae Takaichi Calon Kuat PM Perempuan Pertama Jepang",https://www.tempo.co/internasional/pimpin-ldp-sanae-takaichi-calon-kuat-pm-perempuan-pertama-jepang-2076205,tempo,4 Oktober 2025 | 14.00 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],367,0
5,Gubernur Banten Terpilih Andra Soni Temui Presiden Prabowo di Istana,https://news.detik.com/berita/d-7685816/gubernur-banten-terpilih-andra-soni-temui-presiden-prabowo-di-istana,detik,"Jumat, 13 Des 2024 22:12 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],266,0
6,Yusril: Pedemo Ditangkap Polisi karena Lakukan Tindak Pidana,https://www.tempo.co/hukum/yusril-pedemo-ditangkap-polisi-karena-lakukan-tindak-pidana-2073796,tempo,27 September 2025 | 08.29 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],331,0
7,"Banjir Besar Landa Jabodetabek, Pimpinan MPR Ingatkan Mitigasi Bencana",https://nasional.kompas.com/read/2025/03/04/22383061/banjir-besar-landa-jabodetabek-pimpinan-mpr-ingatkan-mitigasi-bencana,kompas,4 Maret 2025,60,75,80,95,80,100,77,Layak terbit,"Artikel memenuhi unsur berita dengan narasumber jelas (Eddy Soeparno), data spesifik (117 RT terendam, 8 kecamatan Bekasi), dan konteks kebijakan publik yang relevan. Namun kelemahan utama: seluruh isi bersumber dari siaran pers partai, tidak ada konfirmasi independen dari BNPB, BMKG, atau pemerintah daerah terkait data banjir. Kurangnya sumber lain membuat artikel bersifat satu-sisi (single-source).","Tidak ditemukan masalah etika maupun legal. Pernyataan Eddy Soeparno bersifat kebijakan publik yang sah untuk disampaikan oleh pejabat negara. Tidak ada serangan pribadi, fitnah, atau pelanggaran privasi. Bahasa yang digunakan objektif dan faktual.",Netral-informatif. Artikel relay perspektifyang dibangun dari satu sumber resmi tanpa narasi editorial yang mengarahkan opini pembaca.,"[{""type"":""good"",""text"":""Narasumber teridentifikasi jelas dengan jabatan lengkap (Wakil Ketua MPR RI, Politikus PAN)"",""note"":""Kredibilitas sumber primer terjaga.""},{""type"":""good"",""text"":""Data quantifikatif disebutkan (117 RT, 8 kecamatan, kedalaman air bervariasi)"",""note"":""Memberi kontekstualisasi faktual pada liputan.""},{""type"":""good"",""text"":""Terdapat tanggal dan sumber pernyataan (Selasa, 4/3/2025, siaran pers)"",""note"":""Kelayakan publikasi (newsworthiness) terpenuhi.""},{""type"":""warn"",""text"":""Seluruh isi artikel berasal dari satu sumber (siaran pers partai)"",""note"":""Praktik jurnalisme ideal mengharuskan konfirmasi silang dari pihak independen seperti BNPB, BMKG, atau pemerintah kota.""},{""type"":""warn"",""text"":""Tidak ada suara dari pemerintah daerah terkait (Gub/Plt. DKI atau Bekasi)"",""note"":""Ketimpangan供给 informasi dapat memunculkan kesan sepihak.""}]",253,0
8,Lagu Indonesia Raya Kena Royalti? Istana Menjawab,https://nasional.kompas.com/read/2025/08/15/18222151/lagu-indonesia-raya-kena-royalti-istana-menjawab,kompas,15 Agustus 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],161,0
9,Remaja Ditindak Polisi di Serpong karena Bawa Mobil Berpelat Asing,https://megapolitan.kompas.com/read/2025/04/29/19304221/remaja-ditindak-polisi-di-serpong-karena-bawa-mobil-berpelat-asing,kompas,29 April 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],262,0
10,LPSK Siap Berikan Perlindungan Saksi dan Korban Demo di DPR,https://nasional.kompas.com/read/2025/08/30/14290091/lpsk-siap-berikan-perlindungan-saksi-dan-korban-demo-di-dpr,kompas,30 Agustus 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],314,0
